Read times - Current graph,Current(A) - Current graph
0,0.095
1,0.095
2,0.095
3,0.095
4,0.095
5,0.095
6,0.095
7,0.095
8,0.095
9,0.095
10,0.096
11,0.095
12,0.095
13,0.095
14,0.095
15,0.095
16,0.096
17,0.095
18,0.095
19,0.095
20,0.095
21,0.095
22,0.095
23,0.096
24,0.095
25,0.095
26,0.095
27,0.095
28,0.095
29,0.096
30,0.095
31,0.096
32,0.095
33,0.095
34,0.095
35,0.095
36,0.095
37,0.095
38,0.095
39,0.095
40,0.095
41,0.095
42,0.095
43,0.095
44,0.095
45,0.095
46,0.095
47,0.095
48,0.096
49,0.095
50,0.095
51,0.095
52,0.096
53,0.095
54,0.095
55,0.095
56,0.095
57,0.095
58,0.095
59,0.095
60,0.096
61,0.095
62,0.095
63,0.095
64,0.095
65,0.095
66,0.096
67,0.095
68,0.096
69,0.095
70,0.095
71,0.095
72,0.095
73,0.095
74,0.096
75,0.095
76,0.095
77,0.095
78,0.095
79,0.095
80,0.095
81,0.096
82,0.095
83,0.095
84,0.095
85,0.095
86,0.095
87,0.096
88,0.095
89,0.095
90,0.095
91,0.095
92,0.095
93,0.095
94,0.096
95,0.094
96,0.095
97,0.094
98,0.095
99,0.095
100,0.095
101,0.095
102,0.095
103,0.095
104,0.095
105,0.095
106,0.095
107,0.096
108,0.095
109,0.095
110,0.095
111,0.095
112,0.095
113,0.095
114,0.095
115,0.095
116,0.095
117,0.095
118,0.095
119,0.095
120,0.095
121,0.095
122,0.095
123,0.095
124,0.095
125,0.095
126,0.095
127,0.094
128,0.094
129,0.095
130,0.095
131,0.095
132,0.095
133,0.094
134,0.096
135,0.095
136,0.095
137,0.095
138,0.095
139,0.095
140,0.095
141,0.095
142,0.096
143,0.095
144,0.095
145,0.095
146,0.095
147,0.095
148,0.095
149,0.095
150,0.095
151,0.095
152,0.095
153,0.095
154,0.095
155,0.095
156,0.095
157,0.095
158,0.095
159,0.094
160,0.095
161,0.095
162,0.095
163,0.095
164,0.095
165,0.095
166,0.095
167,0.095
168,0.095
169,0.095
170,0.095
171,0.095
172,0.095
173,0.095
174,0.095
175,0.095
176,0.096
177,0.095
178,0.095
179,0.095
180,0.095
181,0.095
182,0.095
183,0.096
184,0.095
185,0.095
186,0.095
187,0.095
188,0.095
189,0.096
190,0.095
191,0.095
192,0.094
193,0.095
194,0.095
195,0.095
196,0.096
197,0.095
198,0.094
199,0.095
200,0.095
201,0.095
202,0.095
203,0.095
204,0.095
205,0.095
206,0.095
207,0.095
208,0.095
209,0.096
210,0.095
211,0.095
212,0.095
213,0.095
214,0.095
215,0.095
216,0.095
217,0.095
218,0.095
219,0.095
220,0.095
221,0.095
222,0.096
223,0.095
224,0.095
225,0.095
226,0.095
227,0.095
228,0.095
229,0.095
230,0.095
231,0.095
232,0.095
233,0.095
234,0.096
235,0.096
236,0.095
237,0.095
238,0.095
239,0.095
240,0.095
241,0.096
242,0.095
243,0.095
244,0.095
245,0.095
246,0.095
247,0.096
248,0.096
249,0.095
250,0.095
251,0.095
252,0.095
253,0.095
254,0.095
255,0.095
256,0.095
257,0.095
258,0.095
259,0.095
260,0.096
261,0.095
262,0.095
263,0.095
264,0.095
265,0.095
266,0.095
267,0.096
268,0.095
269,0.095
270,0.095
271,0.095
272,0.095
273,0.096
274,0.095
275,0.095
276,0.095
277,0.095
278,0.095
279,0.095
280,0.095
281,0.095
282,0.095
283,0.095
284,0.095
285,0.096
286,0.095
287,0.095
288,0.095
289,0.095
290,0.095
291,0.095
292,0.096
293,0.095
294,0.095
295,0.095
296,0.095
297,0.095
298,0.096
299,0.096
300,0.095
301,0.095
302,0.095
303,0.095
304,0.095
305,0.096
306,0.095
307,0.096
308,0.095
309,0.095
310,0.095
311,0.096
312,0.095
313,0.095
314,0.095
315,0.095
316,0.095
317,0.095
318,0.096
319,0.095
320,0.095
321,0.095
322,0.095
323,0.095
324,0.096
325,0.096
326,0.095
327,0.095
328,0.095
329,0.095
330,0.095
331,0.095
332,0.095
