Read times - Current graph,Current(A) - Current graph
0,0.072
1,0.073
2,0.072
3,0.073
4,0.072
5,0.073
6,0.073
7,0.073
8,0.073
9,0.073
10,0.073
11,0.073
12,0.073
13,0.073
14,0.073
15,0.073
16,0.073
17,0.073
18,0.073
19,0.073
20,0.073
21,0.072
22,0.073
23,0.073
24,0.073
25,0.072
26,0.072
27,0.073
28,0.073
29,0.073
30,0.073
31,0.073
32,0.072
33,0.073
34,0.073
35,0.074
36,0.073
37,0.072
38,0.073
39,0.073
40,0.073
41,0.073
42,0.073
43,0.072
44,0.072
45,0.073
46,0.073
47,0.073
48,0.073
49,0.072
50,0.073
51,0.073
52,0.073
53,0.073
54,0.073
55,0.072
56,0.072
57,0.073
58,0.073
59,0.073
60,0.072
61,0.072
62,0.073
63,0.073
64,0.073
65,0.072
66,0.072
67,0.072
68,0.072
69,0.073
70,0.073
71,0.072
72,0.073
73,0.073
74,0.073
75,0.073
76,0.073
77,0.073
78,0.073
79,0.072
80,0.072
81,0.072
82,0.073
83,0.073
84,0.073
85,0.073
86,0.073
87,0.073
88,0.073
89,0.073
90,0.073
91,0.073
92,0.073
93,0.073
94,0.073
95,0.072
96,0.073
97,0.073
98,0.073
99,0.073
100,0.073
101,0.073
102,0.072
103,0.073
104,0.073
105,0.072
106,0.073
107,0.073
108,0.073
109,0.073
110,0.073
111,0.073
112,0.073
113,0.072
114,0.072
115,0.072
116,0.073
117,0.073
118,0.073
119,0.072
120,0.072
121,0.073
122,0.072
123,0.072
124,0.073
125,0.071
126,0.071
127,0.072
128,0.072
129,0.072
130,0.073
131,0.072
132,0.072
133,0.072
134,0.072
135,0.073
136,0.072
137,0.072
138,0.072
139,0.073
140,0.073
141,0.073
142,0.073
143,0.072
144,0.072
145,0.072
146,0.072
147,0.072
148,0.072
149,0.072
150,0.072
151,0.073
152,0.072
153,0.072
154,0.071
155,0.072
156,0.073
157,0.072
158,0.072
159,0.072
160,0.073
161,0.072
162,0.073
163,0.073
164,0.072
165,0.072
166,0.072
167,0.073
168,0.072
169,0.072
170,0.072
171,0.072
172,0.073
173,0.072
174,0.072
175,0.073
176,0.072
177,0.072
178,0.073
179,0.072
180,0.072
181,0.072
182,0.072
183,0.073
184,0.073
185,0.072
186,0.072
187,0.072
188,0.072
189,0.073
190,0.072
191,0.072
192,0.072
193,0.072
194,0.072
195,0.072
196,0.073
197,0.073
198,0.073
199,0.072
200,0.072
201,0.073
202,0.074
203,0.073
204,0.073
205,0.072
206,0.073
207,0.073
208,0.073
209,0.073
210,0.073
211,0.073
212,0.073
213,0.073
214,0.073
215,0.073
216,0.073
217,0.073
218,0.073
219,0.073
220,0.072
221,0.072
222,0.072
223,0.072
224,0.073
225,0.073
226,0.073
227,0.073
228,0.073
229,0.073
230,0.073
231,0.074
232,0.073
233,0.073
234,0.073
235,0.073
236,0.073
237,0.074
238,0.073
239,0.073
240,0.073
241,0.073
242,0.073
243,0.073
244,0.073
245,0.073
246,0.073
247,0.073
248,0.073
249,0.073
250,0.073
251,0.073
252,0.073
253,0.073
254,0.073
255,0.073
256,0.073
257,0.073
258,0.073
259,0.073
260,0.073
261,0.073
262,0.072
263,0.072
264,0.073
265,0.073
266,0.073
267,0.073
268,0.072
269,0.072
270,0.073
271,0.073
272,0.073
273,0.073
274,0.072
275,0.072
276,0.072
277,0.073
278,0.073
279,0.073
280,0.073
281,0.073
282,0.072
283,0.072
284,0.073
285,0.072
286,0.073
287,0.073
288,0.073
289,0.073
290,0.073
291,0.073
292,0.073
293,0.073
294,0.073
295,0.072
296,0.073
297,0.073
298,0.073
299,0.073
300,0.073
301,0.073
302,0.073
303,0.072
304,0.072
305,0.072
306,0.072
307,0.072
