Read times - Current graph,Current(A) - Current graph
0,0.096
1,0.097
2,0.097
3,0.097
4,0.096
5,0.096
6,0.097
7,0.097
8,0.096
9,0.097
10,0.099
11,0.1
12,0.1
13,0.096
14,0.096
15,0.096
16,0.096
17,0.096
18,0.096
19,0.097
20,0.096
21,0.096
22,0.096
23,0.097
24,0.098
25,0.1
26,0.099
27,0.1
28,0.096
29,0.096
30,0.096
31,0.096
32,0.096
33,0.096
34,0.096
35,0.096
36,0.096
37,0.096
38,0.097
39,0.1
40,0.1
41,0.1
42,0.098
43,0.096
44,0.096
45,0.096
46,0.097
47,0.097
48,0.097
49,0.096
50,0.096
51,0.097
52,0.097
53,0.098
54,0.1
55,0.1
56,0.1
57,0.097
58,0.096
59,0.096
60,0.096
61,0.096
62,0.096
63,0.097
64,0.097
65,0.097
66,0.097
67,0.097
68,0.1
69,0.1
70,0.1
71,0.1
72,0.096
73,0.096
74,0.097
75,0.096
76,0.097
77,0.096
78,0.096
79,0.096
80,0.097
81,0.096
82,0.098
83,0.1
84,0.1
85,0.1
86,0.097
87,0.097
88,0.096
89,0.096
90,0.096
91,0.097
92,0.097
93,0.096
94,0.096
95,0.096
96,0.097
97,0.1
98,0.1
99,0.1
100,0.098
101,0.096
102,0.097
103,0.097
104,0.097
105,0.096
106,0.096
107,0.096
108,0.096
109,0.096
110,0.097
111,0.098
112,0.099
113,0.099
114,0.1
115,0.096
116,0.096
117,0.096
118,0.096
119,0.096
120,0.097
121,0.097
122,0.096
123,0.096
124,0.096
125,0.097
126,0.1
127,0.1
128,0.1
129,0.1
130,0.096
131,0.096
132,0.096
133,0.096
134,0.096
135,0.096
136,0.096
137,0.096
138,0.096
139,0.096
140,0.097
141,0.1
142,0.1
143,0.1
144,0.096
145,0.096
146,0.096
147,0.096
148,0.097
149,0.096
150,0.096
151,0.096
152,0.097
153,0.097
154,0.096
155,0.098
156,0.1
157,0.1
158,0.1
159,0.097
160,0.096
161,0.096
162,0.096
163,0.096
164,0.097
165,0.097
166,0.096
167,0.096
168,0.096
169,0.097
170,0.099
171,0.1
172,0.1
173,0.098
174,0.096
175,0.096
176,0.097
177,0.097
