Read times - Current graph,Current(A) - Current graph
0,0.088
1,0.081
2,0.072
3,0.088
4,0.088
5,0.089
6,0.088
7,0.081
8,0.081
9,0.089
10,0.089
11,0.089
12,0.088
13,0.086
14,0.081
15,0.088
16,0.088
17,0.089
18,0.089
19,0.074
20,0.081
21,0.089
22,0.088
23,0.089
24,0.088
25,0.074
26,0.074
27,0.089
28,0.089
29,0.089
30,0.089
31,0.075
32,0.089
33,0.089
34,0.089
35,0.089
36,0.089
37,0.074
38,0.089
39,0.089
40,0.088
41,0.089
42,0.089
43,0.074
44,0.081
45,0.089
46,0.089
47,0.089
48,0.088
49,0.074
50,0.089
51,0.089
52,0.089
53,0.088
54,0.089
55,0.074
56,0.081
57,0.088
58,0.089
59,0.088
60,0.089
61,0.074
62,0.081
63,0.089
64,0.089
65,0.089
66,0.089
67,0.074
68,0.089
69,0.089
70,0.088
71,0.089
72,0.089
73,0.074
74,0.089
75,0.089
76,0.089
77,0.089
78,0.089
79,0.073
80,0.089
81,0.089
82,0.089
83,0.089
84,0.089
85,0.074
86,0.089
87,0.089
88,0.089
89,0.089
90,0.089
91,0.073
92,0.089
93,0.089
94,0.089
95,0.088
96,0.089
97,0.074
98,0.089
99,0.088
100,0.089
101,0.089
102,0.089
103,0.074
104,0.088
105,0.089
106,0.089
107,0.089
108,0.082
109,0.074
110,0.089
111,0.089
112,0.089
113,0.088
114,0.083
115,0.074
116,0.089
117,0.089
118,0.089
119,0.089
120,0.088
121,0.081
122,0.089
123,0.089
124,0.088
125,0.089
126,0.074
127,0.075
128,0.088
129,0.089
130,0.088
131,0.088
132,0.074
133,0.074
134,0.089
135,0.088
136,0.088
137,0.089
138,0.081
139,0.088
140,0.088
141,0.088
142,0.089
143,0.089
144,0.081
145,0.086
146,0.089
147,0.089
148,0.088
149,0.088
150,0.074
151,0.081
152,0.088
153,0.088
154,0.088
155,0.089
156,0.074
157,0.088
158,0.088
159,0.089
160,0.089
161,0.089
162,0.079
163,0.089
164,0.089
165,0.089
166,0.086
167,0.088
168,0.074
169,0.088
170,0.088
171,0.088
172,0.088
173,0.089
174,0.074
175,0.088
176,0.089
177,0.089
178,0.088
179,0.088
180,0.074
181,0.089
182,0.088
183,0.088
184,0.089
185,0.089
186,0.073
187,0.088
188,0.089
189,0.089
190,0.089
191,0.088
192,0.073
193,0.089
194,0.089
195,0.088
196,0.088
197,0.089
198,0.074
199,0.089
200,0.088
201,0.089
202,0.087
203,0.089
204,0.074
205,0.088
206,0.089
207,0.089
208,0.088
209,0.088
210,0.074
211,0.08
212,0.089
213,0.089
214,0.089
215,0.089
216,0.074
217,0.087
218,0.089
219,0.089
220,0.088
221,0.088
222,0.081
223,0.081
224,0.089
225,0.088
226,0.088
227,0.089
228,0.074
229,0.08
230,0.088
231,0.088
232,0.089
233,0.088
234,0.074
235,0.088
236,0.088
237,0.089
238,0.087
239,0.088
240,0.081
241,0.084
242,0.089
243,0.088
244,0.088
245,0.089
246,0.074
247,0.081
248,0.088
249,0.088
250,0.089
251,0.089
252,0.074
253,0.081
254,0.089
255,0.089
256,0.089
257,0.088
258,0.074
259,0.089
260,0.089
261,0.088
262,0.088
263,0.088
264,0.074
265,0.088
266,0.088
267,0.088
268,0.089
269,0.089
270,0.074
271,0.08
272,0.088
273,0.088
274,0.089
275,0.088
276,0.073
277,0.089
278,0.088
279,0.089
280,0.088
281,0.088
282,0.073
283,0.089
284,0.089
285,0.088
286,0.088
287,0.088
288,0.074
289,0.089
290,0.088
291,0.088
292,0.089
293,0.089
294,0.074
295,0.088
296,0.089
297,0.089
298,0.089
299,0.088
300,0.088
