Read times - Current graph,Current(A) - Current graph
0,0.074
1,0.073
2,0.105
3,0.074
4,0.073
5,0.073
6,0.126
7,0.146
8,0.146
9,0.148
10,0.146
11,0.147
12,0.147
13,0.147
14,0.146
15,0.146
16,0.149
17,0.146
18,0.146
19,0.147
20,0.146
21,0.146
22,0.146
23,0.146
24,0.146
25,0.145
26,0.14
27,0.146
28,0.146
29,0.147
30,0.146
31,0.147
32,0.147
33,0.147
34,0.148
35,0.146
36,0.146
37,0.148
38,0.146
39,0.147
40,0.145
41,0.138
42,0.147
43,0.148
44,0.146
45,0.148
46,0.147
47,0.146
48,0.147
49,0.149
50,0.146
51,0.149
52,0.146
53,0.147
54,0.146
55,0.148
56,0.145
57,0.146
58,0.147
59,0.138
60,0.147
61,0.141
62,0.149
63,0.15
64,0.146
65,0.144
66,0.148
67,0.138
68,0.145
69,0.147
70,0.148
71,0.148
72,0.146
73,0.137
74,0.148
75,0.147
76,0.15
77,0.136
78,0.145
79,0.147
80,0.146
81,0.146
82,0.146
83,0.146
84,0.148
85,0.146
86,0.148
87,0.147
88,0.148
89,0.147
90,0.147
91,0.136
92,0.148
93,0.148
94,0.147
95,0.14
96,0.148
97,0.139
98,0.148
99,0.146
100,0.148
101,0.146
102,0.148
103,0.146
104,0.145
105,0.148
106,0.146
107,0.148
108,0.146
109,0.147
110,0.147
111,0.146
112,0.146
113,0.146
114,0.147
115,0.148
116,0.147
117,0.148
118,0.147
119,0.138
120,0.147
121,0.146
122,0.148
123,0.15
124,0.147
125,0.146
126,0.148
127,0.147
128,0.148
129,0.146
130,0.148
131,0.146
132,0.137
133,0.148
134,0.146
135,0.147
136,0.14
137,0.147
138,0.138
139,0.145
140,0.149
141,0.147
142,0.137
143,0.146
144,0.139
145,0.148
146,0.149
147,0.148
148,0.137
149,0.146
150,0.146
151,0.147
152,0.148
153,0.148
154,0.146
155,0.147
156,0.138
157,0.147
158,0.148
159,0.148
160,0.138
161,0.146
162,0.138
163,0.147
164,0.147
165,0.146
166,0.138
167,0.147
168,0.143
169,0.147
170,0.147
171,0.148
172,0.148
173,0.147
174,0.147
175,0.146
176,0.147
177,0.148
178,0.146
179,0.148
180,0.147
181,0.149
182,0.146
183,0.146
184,0.146
185,0.147
186,0.145
187,0.145
188,0.148
189,0.148
190,0.147
191,0.147
192,0.147
193,0.147
194,0.148
195,0.148
196,0.146
197,0.148
198,0.148
199,0.147
200,0.147
201,0.138
202,0.148
203,0.141
204,0.147
205,0.146
206,0.148
207,0.138
208,0.148
209,0.14
210,0.146
211,0.148
212,0.149
213,0.137
214,0.146
215,0.148
216,0.148
217,0.148
218,0.147
219,0.146
220,0.151
221,0.139
222,0.147
223,0.146
224,0.15
225,0.14
226,0.147
227,0.14
228,0.146
229,0.149
230,0.146
231,0.138
232,0.147
233,0.141
234,0.147
235,0.148
236,0.149
237,0.139
238,0.149
239,0.142
240,0.146
241,0.146
242,0.148
243,0.148
244,0.147
245,0.146
246,0.146
247,0.147
248,0.147
249,0.148
250,0.147
251,0.148
252,0.148
253,0.149
254,0.147
255,0.149
256,0.148
257,0.147
258,0.148
259,0.146
260,0.147
261,0.147
262,0.148
263,0.148
264,0.149
265,0.148
266,0.149
267,0.148
268,0.147
269,0.146
270,0.148
271,0.149
272,0.138
273,0.147
274,0.138
275,0.149
276,0.148
277,0.147
278,0.142
279,0.148
280,0.15
281,0.149
282,0.148
283,0.146
284,0.146
285,0.148
286,0.148
287,0.147
288,0.148
289,0.147
290,0.148
291,0.147
292,0.14
293,0.147
294,0.147
295,0.148
296,0.139
297,0.147
298,0.14
299,0.148
300,0.148
301,0.148
302,0.137
303,0.148
304,0.142
305,0.148
306,0.148
307,0.148
308,0.145
309,0.149
310,0.14
311,0.148
312,0.148
313,0.147
314,0.148
315,0.149
316,0.147
317,0.147
318,0.147
319,0.148
320,0.145
321,0.147
322,0.147
323,0.147
324,0.147
325,0.148
326,0.149
327,0.148
328,0.141
329,0.148
330,0.147
331,0.148
332,0.148
333,0.145
334,0.147
335,0.148
336,0.148
337,0.146
338,0.147
339,0.146
340,0.151
341,0.147
342,0.146
343,0.141
344,0.145
345,0.147
346,0.146
347,0.147
348,0.148
349,0.145
350,0.148
351,0.148
352,0.15
353,0.146
354,0.147
355,0.148
356,0.147
357,0.147
358,0.146
359,0.146
360,0.146
361,0.148
362,0.146
363,0.14
364,0.145
365,0.144
366,0.148
367,0.14
368,0.147
369,0.138
370,0.148
371,0.147
