Read times - Current graph,Current(A) - Current graph
0,0.075
1,0.075
2,0.075
3,0.086
4,0.147
5,0.148
6,0.147
7,0.149
8,0.146
9,0.146
10,0.146
11,0.149
12,0.137
13,0.149
14,0.148
15,0.147
16,0.146
17,0.149
18,0.149
19,0.147
20,0.148
21,0.149
22,0.149
23,0.148
24,0.147
25,0.148
26,0.148
27,0.149
28,0.148
29,0.149
30,0.152
31,0.147
32,0.148
33,0.149
34,0.147
35,0.147
36,0.15
37,0.148
38,0.149
39,0.149
40,0.148
41,0.148
42,0.149
43,0.148
44,0.148
45,0.146
46,0.148
47,0.139
48,0.149
49,0.148
50,0.147
51,0.144
52,0.148
53,0.142
54,0.15
55,0.148
56,0.149
57,0.139
58,0.147
59,0.142
60,0.148
61,0.148
62,0.149
63,0.139
64,0.148
65,0.146
66,0.149
67,0.147
68,0.148
69,0.148
70,0.151
71,0.139
72,0.148
73,0.149
74,0.148
75,0.143
76,0.148
77,0.139
78,0.148
79,0.148
80,0.148
81,0.139
82,0.149
83,0.142
84,0.148
85,0.149
86,0.146
87,0.148
88,0.149
89,0.148
90,0.149
91,0.147
92,0.148
93,0.149
94,0.148
95,0.149
96,0.148
97,0.146
98,0.149
99,0.149
100,0.149
101,0.148
102,0.149
103,0.15
104,0.148
105,0.149
106,0.147
107,0.146
108,0.148
109,0.149
110,0.15
111,0.149
112,0.149
113,0.148
114,0.149
115,0.148
116,0.141
117,0.147
118,0.139
119,0.147
120,0.148
121,0.149
122,0.139
123,0.148
124,0.14
125,0.146
126,0.149
127,0.148
128,0.139
129,0.148
130,0.149
131,0.15
132,0.147
133,0.15
134,0.146
135,0.147
136,0.138
137,0.148
138,0.149
139,0.148
140,0.14
141,0.148
142,0.143
143,0.148
144,0.148
145,0.147
146,0.139
147,0.147
148,0.14
149,0.148
150,0.15
151,0.148
152,0.141
153,0.147
154,0.145
155,0.147
156,0.149
157,0.148
158,0.15
159,0.149
160,0.149
161,0.148
162,0.15
163,0.146
164,0.149
165,0.148
166,0.149
167,0.148
168,0.149
169,0.148
170,0.148
171,0.148
172,0.147
173,0.151
174,0.149
175,0.147
176,0.149
177,0.147
178,0.148
179,0.147
180,0.148
181,0.147
182,0.148
183,0.147
184,0.149
185,0.149
186,0.146
187,0.139
188,0.148
189,0.141
190,0.147
191,0.147
192,0.147
193,0.143
194,0.147
195,0.15
196,0.149
197,0.148
198,0.148
199,0.148
200,0.147
201,0.148
202,0.149
203,0.148
204,0.15
205,0.148
206,0.149
207,0.138
208,0.147
209,0.149
210,0.149
211,0.139
212,0.148
213,0.14
214,0.15
215,0.148
216,0.148
217,0.142
218,0.146
219,0.143
220,0.147
221,0.148
222,0.149
223,0.143
224,0.147
225,0.138
226,0.147
227,0.148
228,0.146
229,0.148
230,0.148
231,0.147
232,0.146
233,0.151
234,0.147
235,0.146
236,0.149
237,0.148
238,0.148
239,0.147
240,0.148
241,0.148
242,0.149
243,0.139
244,0.147
245,0.148
246,0.151
247,0.148
248,0.147
249,0.146
250,0.149
251,0.146
252,0.148
253,0.147
254,0.148
255,0.146
256,0.149
257,0.147
258,0.144
259,0.146
260,0.148
261,0.146
262,0.149
263,0.148
264,0.149
265,0.148
266,0.148
267,0.151
268,0.149
269,0.148
270,0.15
271,0.148
272,0.149
273,0.149
274,0.145
275,0.147
276,0.14
277,0.148
278,0.144
279,0.148
280,0.147
281,0.148
282,0.144
283,0.149
284,0.139
285,0.146
286,0.148
287,0.149
288,0.145
289,0.147
290,0.141
291,0.148
292,0.15
293,0.15
294,0.14
295,0.149
296,0.142
297,0.149
298,0.149
299,0.149
300,0.149
301,0.149
302,0.146
303,0.148
304,0.148
305,0.147
306,0.148
307,0.149
308,0.14
309,0.149
310,0.149
311,0.149
312,0.142
313,0.146
314,0.14
315,0.149
316,0.149
317,0.147
318,0.149
319,0.148
320,0.149
321,0.149
322,0.15
323,0.15
324,0.148
325,0.149
326,0.148
327,0.151
328,0.148
329,0.149
330,0.148
331,0.148
332,0.149
333,0.148
334,0.148
335,0.147
336,0.15
337,0.149
338,0.149
339,0.151
340,0.15
341,0.148
342,0.15
343,0.148
344,0.148
345,0.149
346,0.149
347,0.141
348,0.148
349,0.141
350,0.148
351,0.149
352,0.147
353,0.143
354,0.149
355,0.14
356,0.149
357,0.148
358,0.149
359,0.14
360,0.148
361,0.139
362,0.148
363,0.148
364,0.148
365,0.14
366,0.149
367,0.148
368,0.147
369,0.149
370,0.148
371,0.149
372,0.149
373,0.141
374,0.147
375,0.15
376,0.148
377,0.142
378,0.148
379,0.143
380,0.147
381,0.149
382,0.15
383,0.139
384,0.149
385,0.143
386,0.149
387,0.149
388,0.149
389,0.148
390,0.148
391,0.149
392,0.149
393,0.148
394,0.15
395,0.149
396,0.148
397,0.15
398,0.148
399,0.149
400,0.149
401,0.147
402,0.148
403,0.148
404,0.149
405,0.148
406,0.149
407,0.149
408,0.149
409,0.149
410,0.149
411,0.149
412,0.149
