Read times - Current graph,Current(A) - Current graph
0,0.079
1,0.1
2,0.073
3,0.074
4,0.101
5,0.145
6,0.137
7,0.145
8,0.146
9,0.146
10,0.146
11,0.147
12,0.146
13,0.149
14,0.146
15,0.148
16,0.146
17,0.149
18,0.141
19,0.146
20,0.145
21,0.147
22,0.144
23,0.146
24,0.136
25,0.148
26,0.146
27,0.147
28,0.137
29,0.146
30,0.146
31,0.146
32,0.146
33,0.145
34,0.145
35,0.146
36,0.146
37,0.147
38,0.148
39,0.146
40,0.146
41,0.146
42,0.146
43,0.146
44,0.146
45,0.147
46,0.148
47,0.145
48,0.146
49,0.146
50,0.145
51,0.146
52,0.146
53,0.146
54,0.147
55,0.145
56,0.146
57,0.146
58,0.147
59,0.144
60,0.15
61,0.146
62,0.146
63,0.145
64,0.148
65,0.138
66,0.145
67,0.146
68,0.148
69,0.139
70,0.145
71,0.146
72,0.146
73,0.146
74,0.147
75,0.147
76,0.147
77,0.146
78,0.147
79,0.148
80,0.146
81,0.148
82,0.147
83,0.147
84,0.148
85,0.146
86,0.146
87,0.146
88,0.146
89,0.146
90,0.146
91,0.148
92,0.146
93,0.147
94,0.148
95,0.146
96,0.148
97,0.147
98,0.14
99,0.148
100,0.147
101,0.146
102,0.146
103,0.147
104,0.142
105,0.146
106,0.147
107,0.147
108,0.148
109,0.147
110,0.146
111,0.146
112,0.148
113,0.147
114,0.146
115,0.147
116,0.138
117,0.149
118,0.138
119,0.146
120,0.149
121,0.147
122,0.14
123,0.147
124,0.142
125,0.147
126,0.146
127,0.15
128,0.142
129,0.149
130,0.145
131,0.147
132,0.148
133,0.146
134,0.148
135,0.147
136,0.148
137,0.147
138,0.148
139,0.147
140,0.147
141,0.145
142,0.146
143,0.147
144,0.148
145,0.151
146,0.147
147,0.146
148,0.147
149,0.147
150,0.148
151,0.147
152,0.147
153,0.148
154,0.148
155,0.147
156,0.148
157,0.146
158,0.148
159,0.147
160,0.148
161,0.147
162,0.146
163,0.139
164,0.148
165,0.14
166,0.149
167,0.147
168,0.151
169,0.138
170,0.148
171,0.148
172,0.146
173,0.147
174,0.147
175,0.14
176,0.147
177,0.148
178,0.15
179,0.146
180,0.148
181,0.147
182,0.149
183,0.146
184,0.148
185,0.147
186,0.148
187,0.137
188,0.149
189,0.143
190,0.147
191,0.146
192,0.149
193,0.139
194,0.148
195,0.149
196,0.147
197,0.147
198,0.147
199,0.141
200,0.149
201,0.138
202,0.148
203,0.148
204,0.148
205,0.148
206,0.147
207,0.148
208,0.149
209,0.147
210,0.148
211,0.148
212,0.149
