Read times - Current graph,Current(A) - Current graph
0,0.076
1,0.105
2,0.147
3,0.14
4,0.146
5,0.146
6,0.148
7,0.145
8,0.146
9,0.147
10,0.146
11,0.147
12,0.145
13,0.147
14,0.148
15,0.147
16,0.148
17,0.146
18,0.147
19,0.146
20,0.146
21,0.147
22,0.147
23,0.146
24,0.148
25,0.141
26,0.147
27,0.14
28,0.145
29,0.147
30,0.146
31,0.141
32,0.148
33,0.146
34,0.147
35,0.145
36,0.147
37,0.146
38,0.147
39,0.146
40,0.147
41,0.146
42,0.15
43,0.145
44,0.147
45,0.147
46,0.147
47,0.147
48,0.144
49,0.145
50,0.137
51,0.149
52,0.146
53,0.147
54,0.148
55,0.146
56,0.146
57,0.148
58,0.149
59,0.146
60,0.148
61,0.148
62,0.148
63,0.148
64,0.147
65,0.148
66,0.147
67,0.148
68,0.146
69,0.148
70,0.148
71,0.139
72,0.147
73,0.138
74,0.148
75,0.146
76,0.15
77,0.138
78,0.147
79,0.148
80,0.146
81,0.148
82,0.147
83,0.148
84,0.146
85,0.147
86,0.146
87,0.145
88,0.147
89,0.146
90,0.139
91,0.148
92,0.147
93,0.147
94,0.138
95,0.147
96,0.14
97,0.149
98,0.147
99,0.147
100,0.148
101,0.147
102,0.143
103,0.148
104,0.147
105,0.148
106,0.147
107,0.149
108,0.147
109,0.15
110,0.147
111,0.138
112,0.148
113,0.14
114,0.147
115,0.146
116,0.145
117,0.141
118,0.147
119,0.149
120,0.149
121,0.148
122,0.148
123,0.147
124,0.148
125,0.138
126,0.146
127,0.146
128,0.147
129,0.148
130,0.147
131,0.147
132,0.147
133,0.146
134,0.146
135,0.146
136,0.144
137,0.146
138,0.149
139,0.147
140,0.14
141,0.147
142,0.146
143,0.146
144,0.146
145,0.147
146,0.14
147,0.148
148,0.138
149,0.149
150,0.146
151,0.147
152,0.148
153,0.147
154,0.145
155,0.147
156,0.146
157,0.139
158,0.146
159,0.147
160,0.147
161,0.146
162,0.148
163,0.146
164,0.145
165,0.147
166,0.148
167,0.146
168,0.148
169,0.137
170,0.147
171,0.141
172,0.146
173,0.147
174,0.145
175,0.148
176,0.148
177,0.147
178,0.145
179,0.148
180,0.145
181,0.147
182,0.148
183,0.15
184,0.146
185,0.148
186,0.146
187,0.146
188,0.136
189,0.148
190,0.146
191,0.147
192,0.138
193,0.149
194,0.148
195,0.146
196,0.146
197,0.147
198,0.147
199,0.147
200,0.146
201,0.148
202,0.148
203,0.148
204,0.146
205,0.148
206,0.147
207,0.148
208,0.149
209,0.149
210,0.149
211,0.142
212,0.148
213,0.148
214,0.151
215,0.143
216,0.146
217,0.145
218,0.15
219,0.148
220,0.147
221,0.148
222,0.147
223,0.147
224,0.148
225,0.149
226,0.149
227,0.148
228,0.147
229,0.147
230,0.148
231,0.147
232,0.138
233,0.148
234,0.146
235,0.148
236,0.148
237,0.151
238,0.148
239,0.148
240,0.147
241,0.148
242,0.149
243,0.147
244,0.148
245,0.142
246,0.148
247,0.149
248,0.149
249,0.138
250,0.147
251,0.145
252,0.149
253,0.146
254,0.143
255,0.149
256,0.148
257,0.148
258,0.148
259,0.148
260,0.139
261,0.146
262,0.139
263,0.148
264,0.146
265,0.147
266,0.148
267,0.148
268,0.147
269,0.147
270,0.147
271,0.145
272,0.148
273,0.14
274,0.149
275,0.147
276,0.146
277,0.141
278,0.149
279,0.148
280,0.147
281,0.148
282,0.14
283,0.149
284,0.142
285,0.148
286,0.148
287,0.146
288,0.15
289,0.148
290,0.14
291,0.146
292,0.148
293,0.148
294,0.148
295,0.14
296,0.147
297,0.148
298,0.148
299,0.148
300,0.148
301,0.147
302,0.146
303,0.149
304,0.148
305,0.146
306,0.146
307,0.146
308,0.148
309,0.15
310,0.14
311,0.149
312,0.138
313,0.149
314,0.146
315,0.148
316,0.149
317,0.147
318,0.149
319,0.149
320,0.149
321,0.148
322,0.148
323,0.138
324,0.149
325,0.147
326,0.148
327,0.148
328,0.148
329,0.147
330,0.148
331,0.148
332,0.148
333,0.148
334,0.14
335,0.148
336,0.149
337,0.147
338,0.143
339,0.148
340,0.147
341,0.148
342,0.148
343,0.15
344,0.147
345,0.148
346,0.148
347,0.149
348,0.149
349,0.138
350,0.148
351,0.141
352,0.148
353,0.148
354,0.148
355,0.147
356,0.149
357,0.147
358,0.148
359,0.148
360,0.148
361,0.148
362,0.148
363,0.148
364,0.149
365,0.147
366,0.14
367,0.147
368,0.148
369,0.151
370,0.147
371,0.149
372,0.148
373,0.148
374,0.148
375,0.148
376,0.148
377,0.147
378,0.148
379,0.14
380,0.148
381,0.149
382,0.148
383,0.147
384,0.15
385,0.148
386,0.148
387,0.149
388,0.142
389,0.149
390,0.15
391,0.149
392,0.15
393,0.149
394,0.149
395,0.148
396,0.139
397,0.149
398,0.149
399,0.139
400,0.148
401,0.138
402,0.147
403,0.149
404,0.148
405,0.148
406,0.148
407,0.146
408,0.148
409,0.149
410,0.148
411,0.148
412,0.14
413,0.148
414,0.148
415,0.149
416,0.14
417,0.149
418,0.148
419,0.148
420,0.148
421,0.149
422,0.148
423,0.149
424,0.148
425,0.148
426,0.149
427,0.146
428,0.148
429,0.139
430,0.148
431,0.149
432,0.148
433,0.15
434,0.148
435,0.149
436,0.149
437,0.148
438,0.139
439,0.146
440,0.145
441,0.149
442,0.148
443,0.148
444,0.147
445,0.148
446,0.148
447,0.148
448,0.148
449,0.148
450,0.148
451,0.138
452,0.148
453,0.149
454,0.148
455,0.138
456,0.149
457,0.148
458,0.148
459,0.148
460,0.146
461,0.149
462,0.148
463,0.147
464,0.148
465,0.148
466,0.141
467,0.149
468,0.139
469,0.147
470,0.148
471,0.148
472,0.149
473,0.149
474,0.147
475,0.149
476,0.148
477,0.142
478,0.148
479,0.14
480,0.148
481,0.148
482,0.149
483,0.149
