Read times - Current graph,Current(A) - Current graph
8721,0.141
8722,0.149
8723,0.148
8724,0.149
8725,0.14
8726,0.151
8727,0.144
8728,0.148
8729,0.148
8730,0.148
8731,0.149
8732,0.148
8733,0.149
8734,0.149
8735,0.148
8736,0.151
8737,0.148
8738,0.148
8739,0.148
8740,0.15
8741,0.148
8742,0.149
8743,0.149
8744,0.148
8745,0.148
8746,0.148
8747,0.149
8748,0.149
8749,0.149
8750,0.151
8751,0.148
8752,0.148
8753,0.148
8754,0.147
8755,0.149
8756,0.147
8757,0.148
8758,0.148
8759,0.148
8760,0.151
8761,0.148
8762,0.143
8763,0.149
8764,0.149
8765,0.148
8766,0.139
8767,0.15
8768,0.147
8769,0.148
8770,0.148
8771,0.149
8772,0.146
8773,0.149
8774,0.15
8775,0.149
8776,0.149
8777,0.148
8778,0.15
8779,0.152
8780,0.147
8781,0.149
8782,0.148
8783,0.149
8784,0.14
8785,0.147
8786,0.145
8787,0.149
8788,0.149
8789,0.15
8790,0.139
8791,0.148
8792,0.146
8793,0.149
8794,0.149
8795,0.148
8796,0.146
8797,0.149
8798,0.141
8799,0.149
8800,0.148
