Read times - Voltage graph,Voltage(V) - Voltage graph
8742,5.13
8743,5.13
8744,5.13
8745,5.13
8746,5.13
8747,5.13
8748,5.13
8749,5.13
8750,5.13
8751,5.13
8752,5.13
8753,5.13
8754,5.13
8755,5.13
8756,5.13
8757,5.13
8758,5.13
8759,5.13
8760,5.13
8761,5.13
8762,5.13
8763,5.13
8764,5.13
8765,5.13
8766,5.13
8767,5.13
8768,5.13
8769,5.13
8770,5.13
8771,5.13
8772,5.13
8773,5.13
8774,5.13
8775,5.13
8776,5.13
8777,5.13
8778,5.13
8779,5.13
8780,5.14
8781,5.13
8782,5.13
8783,5.13
8784,5.13
8785,5.13
8786,5.14
8787,5.13
8788,5.13
8789,5.13
8790,5.13
8791,5.13
8792,5.13
8793,5.13
8794,5.13
8795,5.13
8796,5.13
8797,5.13
8798,5.13
8799,5.13
8800,5.13
8801,5.13
