Read times - Voltage graph,Voltage(V) - Voltage graph
8503,5.14
8504,5.14
8505,5.13
8506,5.14
8507,5.14
8508,5.14
8509,5.14
8510,5.14
8511,5.14
8512,5.14
8513,5.14
8514,5.14
8515,5.14
8516,5.14
8517,5.14
8518,5.14
8519,5.14
8520,5.14
8521,5.14
8522,5.14
8523,5.14
8524,5.14
8525,5.14
8526,5.14
8527,5.14
8528,5.14
8529,5.14
8530,5.14
8531,5.14
8532,5.14
8533,5.14
8534,5.14
8535,5.14
8536,5.14
8537,5.14
8538,5.14
8539,5.14
8540,5.14
8541,5.14
8542,5.14
8543,5.14
8544,5.14
8545,5.14
8546,5.14
8547,5.14
8548,5.14
8549,5.14
8550,5.14
8551,5.14
8552,5.14
8553,5.14
8554,5.14
8555,5.14
8556,5.14
8557,5.14
8558,5.14
8559,5.14
8560,5.14
8561,5.14
8562,5.14
