Read times - Current graph,Current(A) - Current graph
0,0.173
1,0.172
2,0.161
3,0.172
4,0.162
5,0.25
6,0.176
7,0.203
8,0.161
9,0.173
10,0.162
11,0.196
12,0.172
13,0.21
14,0.161
15,0.172
16,0.162
17,0.162
18,0.161
19,0.163
20,0.173
21,0.172
22,0.162
23,0.161
24,0.179
25,0.174
26,0.172
27,0.161
28,0.161
29,0.174
30,0.172
31,0.162
32,0.162
33,0.162
34,0.161
35,0.172
36,0.173
37,0.162
38,0.172
39,0.171
40,0.171
41,0.172
42,0.162
43,0.208
44,0.172
45,0.179
46,0.161
47,0.161
48,0.161
49,0.172
50,0.172
51,0.181
52,0.161
53,0.169
54,0.18
55,0.172
56,0.171
57,0.161
58,0.177
59,0.173
60,0.162
61,0.162
62,0.172
63,0.16
64,0.172
65,0.173
66,0.161
67,0.161
68,0.173
69,0.161
70,0.173
71,0.161
72,0.161
73,0.176
74,0.181
75,0.161
76,0.161
77,0.161
78,0.16
79,0.172
80,0.161
81,0.161
82,0.18
83,0.174
84,0.161
85,0.171
86,0.161
87,0.161
88,0.182
89,0.161
90,0.161
91,0.187
92,0.162
93,0.172
94,0.18
95,0.171
96,0.161
97,0.176
98,0.162
99,0.161
100,0.161
101,0.161
102,0.171
103,0.19
104,0.161
105,0.162
106,0.175
107,0.161
108,0.172
109,0.172
110,0.162
111,0.181
112,0.171
113,0.161
114,0.163
115,0.161
116,0.161
117,0.178
118,0.171
119,0.161
120,0.161
121,0.171
122,0.181
123,0.172
124,0.161
125,0.16
126,0.175
127,0.177
128,0.163
129,0.176
130,0.16
131,0.177
132,0.173
133,0.164
134,0.162
135,0.171
136,0.171
137,0.179
138,0.162
139,0.162
140,0.161
141,0.173
142,0.162
143,0.162
144,0.162
145,0.163
146,0.173
147,0.181
148,0.161
149,0.162
150,0.171
151,0.181
152,0.176
153,0.161
154,0.162
155,0.172
156,0.173
157,0.161
158,0.162
159,0.161
160,0.175
161,0.183
162,0.163
163,0.161
164,0.172
165,0.161
166,0.172
167,0.178
168,0.161
169,0.161
170,0.172
171,0.158
172,0.188
173,0.16
174,0.161
175,0.181
176,0.172
177,0.162
178,0.226
179,0.181
180,0.161
181,0.172
182,0.162
183,0.161
184,0.172
185,0.18
186,0.161
187,0.172
188,0.166
189,0.161
190,0.172
191,0.161
192,0.162
193,0.181
194,0.166
195,0.181
196,0.173
197,0.161
198,0.161
199,0.172
200,0.174
201,0.162
202,0.161
203,0.161
204,0.173
205,0.186
206,0.162
207,0.162
208,0.179
209,0.162
210,0.172
211,0.177
212,0.162
213,0.173
214,0.172
215,0.162
216,0.162
217,0.162
218,0.162
219,0.172
220,0.177
221,0.162
222,0.181
223,0.172
224,0.182
225,0.172
226,0.162
227,0.161
228,0.18
229,0.172
230,0.162
231,0.181
232,0.162
233,0.178
234,0.181
235,0.162
236,0.164
237,0.18
238,0.172
239,0.179
240,0.177
241,0.162
242,0.172
243,0.177
244,0.162
245,0.162
246,0.162
247,0.162
248,0.177
249,0.189
250,0.162
251,0.158
252,0.177
253,0.163
254,0.177
255,0.162
256,0.162
257,0.172
258,0.245
259,0.162
260,0.173
261,0.164
262,0.164
263,0.173
264,0.168
265,0.162
266,0.176
267,0.181
268,0.173
269,0.172
270,0.162
271,0.162
272,0.173
273,0.172
274,0.163
275,0.162
276,0.162
277,0.177
278,0.176
279,0.162
280,0.163
281,0.175
282,0.162
283,0.173
284,0.173
285,0.162
286,0.18
287,0.173
288,0.162
289,0.162
290,0.162
291,0.163
292,0.176
293,0.185
294,0.162
295,0.173
296,0.173
297,0.172
298,0.183
299,0.162
300,0.162
301,0.173
302,0.173
303,0.162
304,0.162
305,0.162
306,0.176
307,0.177
308,0.163
309,0.162
310,0.169
311,0.172
312,0.172
313,0.173
314,0.163
315,0.162
316,0.172
317,0.163
318,0.183
319,0.162
320,0.162
321,0.176
322,0.172
323,0.162
324,0.163
325,0.176
326,0.173
327,0.169
328,0.162
329,0.161
330,0.176
331,0.174
332,0.162
333,0.162
334,0.162
335,0.162
336,0.173
337,0.162
338,0.162
339,0.172
340,0.172
341,0.181
342,0.172
343,0.162
344,0.162
345,0.172
346,0.172
347,0.162
348,0.162
349,0.162
350,0.18
351,0.172
352,0.162
353,0.162
354,0.176
355,0.199
356,0.172
357,0.161
358,0.162
359,0.172
360,0.181
361,0.163
362,0.162
363,0.161
364,0.161
365,0.173
366,0.176
367,0.162
368,0.172
369,0.172
370,0.181
371,0.184
372,0.162
373,0.16
374,0.173
375,0.171
376,0.162
377,0.162
378,0.163
379,0.173
380,0.172
381,0.162
382,0.162
383,0.177
384,0.172
385,0.175
386,0.173
387,0.161
388,0.162
389,0.181
390,0.162
391,0.162
392,0.162
393,0.162
394,0.18
395,0.178
396,0.164
397,0.172
398,0.172
399,0.173
400,0.179
401,0.164
402,0.162
403,0.184
404,0.179
405,0.162
406,0.162
407,0.162
408,0.178
409,0.176
410,0.164
411,0.162
412,0.172
413,0.176
414,0.173
415,0.179
416,0.162
417,0.162
418,0.173
419,0.173
420,0.162
421,0.171
422,0.161
423,0.181
424,0.183
425,0.162
426,0.162
427,0.18
428,0.179
429,0.174
430,0.172
431,0.192
432,0.176
433,0.172
434,0.163
435,0.162
436,0.163
437,0.162
438,0.172
439,0.172
440,0.162
441,0.173
442,0.172
443,0.162
444,0.181
445,0.163
446,0.162
447,0.174
448,0.175
449,0.162
450,0.162
451,0.162
452,0.181
453,0.173
454,0.162
455,0.162
456,0.171
457,0.174
458,0.175
459,0.172
460,0.161
461,0.173
462,0.174
463,0.162
464,0.17
465,0.162
466,0.162
467,0.173
468,0.181
469,0.162
470,0.164
471,0.176
472,0.171
473,0.172
474,0.162
475,0.162
476,0.176
477,0.173
478,0.161
479,0.161
480,0.162
481,0.162
482,0.173
483,0.162
484,0.161
485,0.174
486,0.177
487,0.172
488,0.176
489,0.162
490,0.162
491,0.172
492,0.173
493,0.162
494,0.163
495,0.162
496,0.171
497,0.172
498,0.158
499,0.162
500,0.172
501,0.172
502,0.173
503,0.172
504,0.162
505,0.173
506,0.172
507,0.161
508,0.162
509,0.162
510,0.162
511,0.172
512,0.172
513,0.162
514,0.162
515,0.173
516,0.174
517,0.172
518,0.161
519,0.162
520,0.173
521,0.172
522,0.162
523,0.162
524,0.162
525,0.174
526,0.174
527,0.162
