Read times - Current graph,Current(A) - Current graph
0,0.162
1,0.163
2,0.162
3,0.173
4,0.174
5,0.162
6,0.163
7,0.173
8,0.174
9,0.181
10,0.173
11,0.162
12,0.173
13,0.175
14,0.163
15,0.163
16,0.162
17,0.163
18,0.173
19,0.177
20,0.163
21,0.162
22,0.162
23,0.173
24,0.182
25,0.162
26,0.162
27,0.172
28,0.179
29,0.174
30,0.173
31,0.162
32,0.174
33,0.181
34,0.164
35,0.223
36,0.162
37,0.161
38,0.182
39,0.176
40,0.169
41,0.22
42,0.174
43,0.174
44,0.173
45,0.163
46,0.182
47,0.172
48,0.172
49,0.163
50,0.174
51,0.163
52,0.176
53,0.181
54,0.162
55,0.161
56,0.173
57,0.16
58,0.173
59,0.173
60,0.162
61,0.163
62,0.173
63,0.163
64,0.174
65,0.163
66,0.162
67,0.173
68,0.173
69,0.163
70,0.163
71,0.162
72,0.183
73,0.176
74,0.174
75,0.163
76,0.173
77,0.173
78,0.172
79,0.163
80,0.162
81,0.163
82,0.176
83,0.162
84,0.163
85,0.162
86,0.163
87,0.173
88,0.173
89,0.163
90,0.163
91,0.163
92,0.173
93,0.175
94,0.162
95,0.162
96,0.174
97,0.175
98,0.18
99,0.181
100,0.163
101,0.193
102,0.178
103,0.162
104,0.163
105,0.162
106,0.162
107,0.173
108,0.181
109,0.162
110,0.163
111,0.172
112,0.173
113,0.174
114,0.169
115,0.163
116,0.176
117,0.173
118,0.164
119,0.173
120,0.163
121,0.177
122,0.189
123,0.163
124,0.163
125,0.176
126,0.162
127,0.174
128,0.173
129,0.162
130,0.173
131,0.181
132,0.181
133,0.179
134,0.162
135,0.163
136,0.178
137,0.163
138,0.162
139,0.162
140,0.162
141,0.173
142,0.182
143,0.163
144,0.162
145,0.173
146,0.162
147,0.173
148,0.175
149,0.162
150,0.173
151,0.18
152,0.164
153,0.173
154,0.162
155,0.163
156,0.183
157,0.181
158,0.174
159,0.163
160,0.162
161,0.173
162,0.173
163,0.162
164,0.163
165,0.172
166,0.177
167,0.173
168,0.182
169,0.161
170,0.173
171,0.179
172,0.163
173,0.163
174,0.163
175,0.163
176,0.177
177,0.175
178,0.163
179,0.173
180,0.173
181,0.173
182,0.179
183,0.162
184,0.163
185,0.174
186,0.177
187,0.177
188,0.173
189,0.162
190,0.162
191,0.181
192,0.161
193,0.162
194,0.162
195,0.16
196,0.173
197,0.183
198,0.163
199,0.173
200,0.172
201,0.177
202,0.173
203,0.163
204,0.163
205,0.172
206,0.173
207,0.162
208,0.181
209,0.164
210,0.18
211,0.178
212,0.162
213,0.163
214,0.173
215,0.163
216,0.173
217,0.168
218,0.162
219,0.163
220,0.179
221,0.179
222,0.174
223,0.162
224,0.162
225,0.182
226,0.173
227,0.162
228,0.162
229,0.162
230,0.18
231,0.176
232,0.162
233,0.162
234,0.172
235,0.162
236,0.175
237,0.173
238,0.162
239,0.162
240,0.178
241,0.163
242,0.176
243,0.162
244,0.162
245,0.183
246,0.182
247,0.162
248,0.163
249,0.162
250,0.174
251,0.173
252,0.163
253,0.163
254,0.177
255,0.173
256,0.175
257,0.185
258,0.162
259,0.163
260,0.172
261,0.163
262,0.162
263,0.162
264,0.162
265,0.181
266,0.174
267,0.162
268,0.163
269,0.162
270,0.174
271,0.177
272,0.162
273,0.162
274,0.181
275,0.173
276,0.173
277,0.173
278,0.162
279,0.162
280,0.173
281,0.163
282,0.163
283,0.165
284,0.162
285,0.181
286,0.173
287,0.163
288,0.163
289,0.181
290,0.173
291,0.175
292,0.163
293,0.163
294,0.178
295,0.173
296,0.165
297,0.177
298,0.162
