Read times - Current graph	Current(A) - Current graph	
0	0.151	
1	0.152	
2	0.163	
3	0.162	
4	0.168	
5	0.162	
6	0.152	
7	0.163	
8	0.165	
9	0.152	
10	0.150	
11	0.151	
12	0.161	
13	0.163	
14	0.204	
15	0.152	
16	0.151	
17	0.163	
18	0.162	
19	0.161	
20	0.152	
21	0.152	
22	0.162	
23	0.162	
24	0.152	
25	0.152	
26	0.162	
27	0.152	
28	0.161	
29	0.152	
30	0.152	
31	0.166	
32	0.162	
33	0.162	
34	0.162	
35	0.152	
36	0.152	
37	0.169	
38	0.152	
39	0.151	
40	0.152	
41	0.152	
42	0.162	
43	0.167	
44	0.152	
45	0.152	
46	0.162	
47	0.152	
48	0.163	
49	0.152	
50	0.153	
51	0.162	
52	0.162	
53	0.191	
54	0.152	
55	0.152	
56	0.152	
57	0.166	
58	0.210	
59	0.152	
60	0.162	
61	0.171	
62	0.162	
63	0.163	
64	0.175	
65	0.152	
66	0.162	
67	0.165	
68	0.151	
69	0.151	
70	0.152	
71	0.163	
72	0.162	
73	0.151	
74	0.152	
75	0.162	
76	0.162	
77	0.163	
78	0.165	
79	0.152	
80	0.163	
81	0.163	
82	0.151	
83	0.152	
84	0.151	
85	0.152	
86	0.163	
87	0.167	
88	0.153	
89	0.155	
90	0.170	
91	0.163	
92	0.162	
93	0.152	
94	0.156	
95	0.170	
96	0.164	
97	0.152	
98	0.158	
99	0.153	
100	0.167	
101	0.164	
102	0.152	
103	0.152	
104	0.162	
105	0.165	
106	0.170	
107	0.162	
108	0.152	
109	0.152	
110	0.162	
111	0.153	
112	0.152	
113	0.151	
114	0.152	
115	0.162	
116	0.168	
117	0.152	
118	0.152	
119	0.163	
120	0.162	
121	0.182	
122	0.156	
123	0.152	
124	0.165	
125	0.161	
126	0.162	
127	0.152	
128	0.152	
129	0.151	
130	0.164	
131	0.152	
132	0.162	
133	0.162	
134	0.170	
135	0.161	
136	0.160	
137	0.152	
138	0.151	
139	0.163	
140	0.162	
141	0.151	
142	0.152	
143	0.195	
144	0.163	
145	0.165	
146	0.152	
147	0.151	
148	0.169	
149	0.162	
150	0.162	
151	0.152	
152	0.151	
153	0.167	
154	0.162	
155	0.152	
156	0.151	
157	0.150	
158	0.152	
159	0.162	
160	0.172	
161	0.152	
162	0.162	
163	0.171	
164	0.165	
165	0.169	
166	0.151	
167	0.152	
168	0.168	
169	0.162	
170	0.154	
171	0.152	
172	0.152	
173	0.162	
174	0.179	
175	0.152	
176	0.153	
177	0.162	
178	0.163	
179	0.168	
180	0.164	
181	0.152	
182	0.165	
183	0.162	
184	0.152	
185	0.152	
186	0.152	
187	0.152	
188	0.167	
189	0.152	
190	0.151	
191	0.150	
192	0.162	
193	0.165	
194	0.165	
195	0.152	
196	0.152	
197	0.162	
198	0.163	
199	0.152	
200	0.152	
201	0.152	
202	0.152	
203	0.171	
204	0.153	
205	0.152	
206	0.162	
207	0.164	
208	0.162	
209	0.168	
210	0.157	
211	0.152	
212	0.162	
213	0.152	
214	0.151	
215	0.176	
216	0.153	
217	0.162	
218	0.171	
219	0.152	
220	0.152	
221	0.169	
222	0.152	
223	0.163	
224	0.152	
225	0.152	
226	0.162	
227	0.163	
228	0.152	
229	0.152	
230	0.152	
231	0.170	
232	0.163	
233	0.152	
234	0.153	
235	0.162	
236	0.162	
237	0.162	
238	0.163	
239	0.152	
240	0.152	
241	0.166	
242	0.169	
243	0.152	
244	0.153	
245	0.152	
246	0.169	
247	0.169	
248	0.152	
249	0.152	
250	0.164	
251	0.164	
252	0.167	
253	0.152	
254	0.152	
255	0.163	
256	0.163	
257	0.152	
258	0.152	
259	0.152	
260	0.152	
261	0.167	
262	0.162	
263	0.152	
264	0.165	
265	0.165	
266	0.163	
267	0.165	
268	0.152	
269	0.152	
270	0.162	
271	0.164	
272	0.153	
273	0.153	
274	0.153	
275	0.170	
276	0.163	
277	0.152	
278	0.152	
279	0.163	
280	0.162	
281	0.171	
282	0.171	
283	0.152	
284	0.167	
285	0.171	
286	0.152	
287	0.152	
288	0.151	
289	0.152	
290	0.164	
291	0.170	
292	0.152	
293	0.153	
294	0.165	
295	0.163	
296	0.166	
297	0.152	
298	0.152	
299	0.162	
300	0.163	
301	0.152	
302	0.151	
303	0.152	
304	0.152	
305	0.176	
306	0.152	
307	0.174	
308	0.163	
309	0.164	
310	0.164	
311	0.163	
312	0.152	
313	0.153	
314	0.168	
315	0.153	
316	0.152	
317	0.152	
318	0.151	
319	0.163	
320	0.165	
321	0.152	
322	0.153	
323	0.163	
324	0.153	
325	0.163	
326	0.152	
327	0.152	
328	0.164	
329	0.170	
330	0.152	
331	0.162	
332	0.152	
333	0.152	
334	0.170	
335	0.162	
336	0.152	
337	0.169	
338	0.152	
339	0.163	
340	0.164	
341	0.153	
342	0.224	
343	0.162	
344	0.162	
345	0.151	
346	0.153	
347	0.163	
348	0.169	
349	0.162	
350	0.153	
351	0.153	
352	0.212	
353	0.164	
354	0.169	
355	0.162	
356	0.152	
357	0.163	
358	0.163	
359	0.153	
360	0.169	
361	0.152	
362	0.219	
363	0.171	
364	0.163	
365	0.153	
366	0.153	
367	0.153	
368	0.162	
369	0.162	
370	0.154	
371	0.153	
372	0.184	
373	0.163	
374	0.163	
375	0.162	
376	0.152	
377	0.162	
378	0.161	
379	0.152	
380	0.153	
381	0.153	
