Read times - Current graph,Current(A) - Current graph
8466,0.161
8467,0.189
8468,0.174
8469,0.161
8470,0.176
8471,0.171
8472,0.175
8473,0.17
8474,0.161
8475,0.161
8476,0.161
8477,0.17
8478,0.176
8479,0.161
8480,0.161
8481,0.17
8482,0.165
8483,0.172
8484,0.161
8485,0.169
8486,0.169
8487,0.161
8488,0.17
8489,0.161
8490,0.169
8491,0.157
8492,0.161
8493,0.171
8494,0.161
8495,0.161
8496,0.161
8497,0.17
8498,0.172
8499,0.161
8500,0.161
8501,0.17
8502,0.18
8503,0.17
8504,0.162
8505,0.169
8506,0.17
8507,0.161
8508,0.17
8509,0.161
8510,0.177
8511,0.16
8512,0.162
8513,0.17
8514,0.161
8515,0.161
8516,0.161
8517,0.173
8518,0.17
8519,0.161
8520,0.174
8521,0.17
8522,0.161
8523,0.17
8524,0.161
8525,0.171
8526,0.181
8527,0.162
8528,0.162
8529,0.168
8530,0.17
8531,0.16
8532,0.162
8533,0.177
8534,0.161
8535,0.161
8536,0.161
8537,0.161
8538,0.177
8539,0.16
8540,0.17
8541,0.17
8542,0.161
8543,0.159
8544,0.161
8545,0.178
