Read times - Voltage graph,Voltage(V) - Voltage graph
8487,5.13
8488,5.13
8489,5.13
8490,5.13
8491,5.13
8492,5.13
8493,5.13
8494,5.13
8495,5.13
8496,5.13
8497,5.13
8498,5.13
8499,5.13
8500,5.13
8501,5.13
8502,5.13
8503,5.13
8504,5.13
8505,5.13
8506,5.13
8507,5.13
8508,5.13
8509,5.13
8510,5.13
8511,5.13
8512,5.13
8513,5.13
8514,5.13
8515,5.13
8516,5.13
8517,5.13
8518,5.13
8519,5.13
8520,5.13
8521,5.13
8522,5.13
8523,5.13
8524,5.13
8525,5.13
8526,5.13
8527,5.13
8528,5.13
8529,5.13
8530,5.13
8531,5.13
8532,5.13
8533,5.13
8534,5.13
8535,5.13
8536,5.13
8537,5.13
8538,5.13
8539,5.13
8540,5.13
8541,5.13
8542,5.13
8543,5.13
8544,5.13
8545,5.13
8546,5.13
