Read times - Voltage graph,Voltage(V) - Voltage graph
8513,5.13
8514,5.13
8515,5.13
8516,5.13
8517,5.13
8518,5.13
8519,5.13
8520,5.13
8521,5.13
8522,5.13
8523,5.13
8524,5.13
8525,5.13
8526,5.13
8527,5.13
8528,5.13
8529,5.13
8530,5.13
8531,5.13
8532,5.13
8533,5.13
8534,5.13
8535,5.13
8536,5.13
8537,5.13
8538,5.13
8539,5.13
8540,5.13
8541,5.13
8542,5.13
8543,5.13
8544,5.13
8545,5.13
8546,5.13
8547,5.13
8548,5.13
8549,5.13
8550,5.13
8551,5.13
8552,5.13
8553,5.13
8554,5.13
8555,5.13
8556,5.13
8557,5.13
8558,5.13
8559,5.13
8560,5.13
8561,5.13
8562,5.13
8563,5.13
8564,5.13
8565,5.13
8566,5.13
8567,5.13
8568,5.13
8569,5.13
8570,5.13
8571,5.13
8572,5.13
